timestamp,open,high,low,close,volume
1704146400000,140.843,140.961,140.839,140.875,577.88
1704150000000,140.883,141.128,140.811,141.11,7594.6899
1704153600000,141.11,141.378,141.096,141.14,12055.4805
1704157200000,141.142,141.456,141.141,141.439,11158.0596
1704160800000,141.435,141.669,141.364,141.562,12562.6299
1704164400000,141.561,141.665,141.494,141.499,9904.04
1704168000000,141.501,141.585,141.459,141.537,6251.9399
1704171600000,141.533,141.533,141.345,141.35,7614.4702
1704175200000,141.35,141.55,141.335,141.521,6203.6299
1704178800000,141.519,141.604,141.387,141.544,26172.4297
1704182400000,141.543,141.592,141.29,141.555,26942.9297
1704186000000,141.555,141.672,141.377,141.552,19067.2891
1704189600000,141.552,141.771,141.504,141.649,17117.8809
1704193200000,141.65,141.887,141.59,141.825,15500.7002
1704196800000,141.825,142.216,141.791,142.114,17286.5605
1704200400000,142.114,142.16,141.885,142.15,19733.5605
1704204000000,142.15,142.175,141.51,141.546,27272.1406
1704207600000,141.548,142.015,141.499,141.925,31396.2402
1704211200000,141.924,141.998,141.711,141.892,19643.6094
1704214800000,141.891,141.998,141.877,141.971,10681.2803
1704218400000,141.97,142.001,141.847,141.949,6110.5
1704222000000,141.947,142,141.901,141.946,4451.3599
1704225600000,141.947,141.974,141.803,141.966,6766.21
1704229200000,141.966,142.017,141.943,141.978,3763.22
1704232800000,141.971,142.056,141.856,142.041,1319.89
1704236400000,142.041,142.181,142.041,142.173,3681.4399
1704240000000,142.174,142.174,141.858,141.954,7172.5498
1704243600000,141.954,142.135,141.907,142.013,6511.9199
1704247200000,142.013,142.063,141.984,142.034,5039.7002
1704250800000,142.037,142.041,141.877,141.889,5944.9302
1704254400000,141.886,141.943,141.858,141.904,4723.1899
1704258000000,141.904,142.132,141.904,142.123,4840.48
1704261600000,142.12,142.131,142.01,142.088,9318.6299
1704265200000,142.087,142.468,142.035,142.418,18910.25
1704268800000,142.417,142.645,142.396,142.572,16040.8799
1704272400000,142.573,142.71,142.499,142.637,13666.46
1704276000000,142.638,142.794,142.599,142.649,15323.0898
